month,outdoor_temperature,heat_conduction_wall,heat_conduction_window,heat_solar_gain_window,heat_solar_gain_wall,heat_transfer_infiltration,heat_transfer_natural_vent,heating_load,cooling_load,lighting_energy,equipment_energy,heat_energy,cool_energy,DHW_energy,pump_energy,fan_energy,total_electricity,total_gas,SWH_production,PV_production,wind_production,PMV
1,4.343413978494624,-67763.38427794371,-77019.4470610695,38235.33020111353,7760.7908582190485,10392.895390694399,0.0,118028.47532993548,192.54082554139225,49250.0793064176,55906.82302365,175164.9821987717,60.08347023277594,5909.713328352016,2718.408660630597,4891.014464932992,112826.40892586396,181074.69552712372,0.0,0.0,0.0,0.0005309606338571742
2,5.529464285714286,-57324.78171988302,-64632.75879524911,36196.82784825011,8121.361293955486,9387.131320627199,0.0,87409.72678127958,669.2266803594489,44674.5133340064,50602.007324448,130384.67376955037,207.8169726394581,5362.716268921975,2258.4958758596244,4417.690484455607,102160.52399140908,135747.39003847234,0.0,0.0,0.0,0.0004642641075471597
3,8.905376344086022,-51716.75343984434,-58016.07293666847,45215.97825183895,11115.01523651775,10392.895390694399,0.0,55094.18870758735,3211.3676209405517,50727.002500044,56724.618622571994,82851.72509768311,991.0098403542754,6102.771114033207,1914.8827436504098,4891.014464932992,115248.52817155367,88954.49621171632,0.0,0.0,0.0,0.0004340215734137215
4,14.613055555555555,-33739.83429382558,-36514.60576154888,53202.2645420137,15744.150473457956,10057.640700671998,0.0,10897.422342546812,22844.599355830323,45755.659724111996,53048.156992020005,16655.446489884267,6973.398448540176,5469.970594300414,633.4911162604502,4733.239804773863,111143.9460857065,22125.41708418468,0.0,0.0,0.0,0.0002520643000602209
5,19.936424731182797,-19307.51418524751,-19464.966822326383,55389.27962968575,19055.83289236279,10392.895390694399,0.0,570.1895026666688,75872.06483952336,50727.002500044,56724.618622571994,881.2086896958006,23100.778323098253,6102.771114033207,137.67248021187805,4891.014464932992,135581.08639085913,6983.9798037290075,0.0,0.0,0.0,0.00014297351627032826
6,24.025416666666665,-5759.33583060375,-4190.313131752389,55405.511017762496,21632.899707617355,10057.640700671998,0.0,0.0,127225.55647027731,48709.5061113648,54683.748189863996,0.0,39366.269175681184,5856.086165662796,14.303497881599998,4733.239804773863,147507.06677956544,5856.086165662796,0.0,0.0,0.0,0.00010131017486283118
7,28.201612903225808,8523.07762389695,12167.545686709283,62507.998194417436,19024.961249627704,10392.895390694399,0.0,0.0,180330.0280272523,47773.1561127912,55089.027424728,0.0,56840.43613676785,5716.655542670825,14.78028114432,4891.014464932992,164608.41442036437,5716.655542670825,0.0,0.0,0.0,0.00014090453581985516
8,27.735080645161293,6767.472106105455,10979.533997282144,67685.09630119825,25635.969303438564,10392.895390694399,0.0,0.0,191327.98754291458,50727.002500044,56724.618622571994,0.0,60277.3091824131,6102.771114033207,14.78028114432,4891.014464932992,172634.72505110642,6102.771114033207,0.0,0.0,0.0,0.0001199524379044398
9,23.820416666666667,-5519.9037617869235,-4785.138379370615,48059.77774868505,10612.691186677348,10057.640700671998,0.0,36.32516579837338,116774.61649179444,47232.5829177384,53865.952590942,56.2705986975554,36144.272823920604,5663.028379981605,33.209990045839696,4733.239804773863,142009.2581274207,5719.29897867916,0.0,0.0,0.0,0.00010701970982319187
10,18.15470430107527,-24856.576916329013,-26461.61138718112,55187.088160284344,15128.148688125826,10392.895390694399,0.0,2658.683653349532,56159.38872843359,49250.0793064176,55906.82302365,4090.8923521457486,17059.970295811916,5909.713328352016,298.3776636079155,4891.014464932992,127406.26475442042,10000.605680497763,0.0,0.0,0.0,0.00017269236852171025
11,12.233611111111113,-41269.7051284038,-45696.66457920414,45025.673771987684,9376.946737411456,10057.640700671998,0.0,30543.956076284605,15452.319945091833,48709.5061113648,54683.748189863996,45945.216311190605,4715.128754842919,5856.086165662796,1181.7793890234013,4733.239804773863,114023.40224986899,51801.30247685341,0.0,0.0,0.0,0.00031223332450043464
12,7.074193548387097,-57272.79344590009,-64469.59361398314,43211.110048193834,8708.869879935057,10392.895390694399,0.0,74589.35570456204,1583.195075399776,47773.1561127912,55089.027424728,110968.57201745229,488.2037069197051,5716.655542670825,2189.0268800318854,4891.014464932992,110430.42858940377,116685.22756012312,0.0,0.0,0.0,0.000481284423281555
